"Date","Price","Open","High","Low","Vol.","Change %"
"Aug 31, 2018","1,200.30","1,207.10","1,208.20","1,199.10","0.19K","0.22%"
"Aug 30, 2018","1,197.70","1,205.40","1,205.60","1,196.00","0.49K","-0.56%"
"Aug 29, 2018","1,204.50","1,205.20","1,205.20","1,202.40","0.03K","-0.24%"
"Aug 28, 2018","1,207.40","1,209.70","1,217.00","1,202.30","0.14K","-0.13%"
"Aug 27, 2018","1,209.00","1,210.30","1,211.40","1,205.20","0.15K","0.22%"
"Aug 24, 2018","1,206.30","1,185.30","1,208.00","1,185.30","0.01K","1.63%"
"Aug 23, 2018","1,187.00","1,189.30","1,190.30","1,184.90","0.10K","-0.78%"
"Aug 22, 2018","1,196.30","1,194.70","1,196.20","1,194.70","0.02K","0.31%"
"Aug 21, 2018","1,192.60","1,189.80","1,190.50","1,189.80","0.02K","0.49%"
"Aug 20, 2018","1,186.80","1,184.80","1,190.00","1,184.40","0.07K","0.88%"
"Aug 17, 2018","1,176.50","1,174.70","1,181.20","1,174.70","0.07K","0.03%"
"Aug 16, 2018","1,176.20","1,173.20","1,180.20","1,161.40","0.12K","-0.11%"
"Aug 15, 2018","1,177.50","1,187.80","1,188.10","1,174.60","0.07K","-1.30%"
"Aug 14, 2018","1,193.00","1,193.10","1,197.50","1,192.80","0.09K","0.14%"
"Aug 13, 2018","1,191.30","1,207.00","1,207.40","1,191.60","0.08K","-1.63%"
"Aug 10, 2018","1,211.10","1,212.50","1,216.40","1,205.60","0.08K","-0.07%"
"Aug 09, 2018","1,211.90","1,214.50","1,215.30","1,211.60","0.04K","-0.06%"
"Aug 08, 2018","1,212.60","1,212.00","1,215.20","1,205.90","0.21K","0.25%"
"Aug 07, 2018","1,209.60","1,207.80","1,214.80","1,207.80","0.72K","0.08%"
"Aug 06, 2018","1,208.60","1,214.40","1,214.40","1,206.60","0.30K","-0.46%"
"Aug 03, 2018","1,214.20","1,206.50","1,218.60","1,205.10","0.78K","0.30%"
"Aug 02, 2018","1,210.60","1,214.70","1,219.30","1,205.80","0.41K","-0.60%"
"Aug 01, 2018","1,217.90","1,222.90","1,223.70","1,214.40","1.03K","-0.47%"
"Jul 31, 2018","1,223.70","1,220.40","1,228.10","1,213.00","2.72K","0.20%"
"Jul 30, 2018","1,221.30","1,222.50","1,223.90","1,218.10","62.24K","-0.07%"
"Jul 27, 2018","1,222.20","1,223.50","1,226.80","1,216.70","-","-0.25%"
"Jul 26, 2018","1,225.30","1,227.80","1,227.80","1,227.80","0.00K","-0.62%"
"Jul 25, 2018","1,233.00","1,225.30","1,234.30","1,223.20","-","0.63%"
"Jul 24, 2018","1,225.30","1,224.40","1,229.60","1,218.20","-","0.11%"
"Jul 23, 2018","1,224.00","1,222.00","1,222.00","1,222.00","0.00K","-0.45%"
"Jul 20, 2018","1,229.50","1,229.50","1,229.50","1,229.50","-","0.58%"
"Jul 19, 2018","1,222.40","1,227.20","1,228.00","1,211.70","0.03K","-0.32%"
"Jul 18, 2018","1,226.30","1,226.70","1,226.70","1,222.20","0.07K","0.05%"
"Jul 17, 2018","1,225.70","1,225.70","1,225.70","1,225.70","-","-1.00%"
"Jul 16, 2018","1,238.10","1,242.70","1,243.80","1,242.70","0.00K","-0.12%"
"Jul 13, 2018","1,239.60","1,244.70","1,247.00","1,244.70","0.00K","-0.43%"
"Jul 12, 2018","1,245.00","1,240.90","1,246.70","1,240.90","0.01K","0.18%"
"Jul 11, 2018","1,242.80","1,253.20","1,253.20","1,247.90","0.03K","-0.88%"
"Jul 10, 2018","1,253.80","1,256.20","1,256.90","1,249.30","0.07K","-0.34%"
"Jul 09, 2018","1,258.10","1,258.20","1,262.30","1,257.70","0.04K","0.30%"
"Jul 06, 2018","1,254.30","1,255.50","1,255.50","1,254.40","0.01K","-0.24%"
"Jul 05, 2018","1,257.30","1,253.70","1,259.90","1,253.60","0.01K","-0.06%"
"Jul 04, 2018","1,258.10","1,256.20","1,262.40","1,255.30","-","0.52%"
"Jul 03, 2018","1,251.60","1,238.10","1,254.10","1,237.00","0.04K","0.95%"
"Jul 02, 2018","1,239.80","1,249.90","1,249.90","1,239.80","0.03K","-0.92%"
"Jun 29, 2018","1,251.30","1,250.30","1,253.30","1,249.10","0.05K","0.28%"
"Jun 28, 2018","1,247.80","1,251.70","1,251.70","1,244.80","0.38K","-0.40%"
"Jun 27, 2018","1,252.80","1,255.50","1,255.50","1,252.30","0.01K","-0.30%"
"Jun 26, 2018","1,256.60","1,267.20","1,267.20","1,257.50","0.09K","-0.71%"
"Jun 25, 2018","1,265.60","1,270.60","1,271.20","1,265.90","0.04K","-0.14%"
"Jun 22, 2018","1,267.40","1,268.10","1,270.20","1,267.00","0.07K","0.02%"
"Jun 21, 2018","1,267.20","1,262.70","1,268.90","1,260.00","0.05K","-0.31%"
"Jun 20, 2018","1,271.20","1,274.40","1,274.40","1,271.50","0.01K","-0.34%"
"Jun 19, 2018","1,275.60","1,278.70","1,281.80","1,269.90","0.03K","-0.05%"
"Jun 18, 2018","1,276.20","1,280.70","1,280.70","1,277.00","0.04K","0.13%"
"Jun 15, 2018","1,274.60","1,297.40","1,297.40","1,274.00","0.59K","-2.25%"
"Jun 14, 2018","1,304.00","1,297.20","1,307.70","1,297.20","0.04K","0.55%"
"Jun 13, 2018","1,296.90","1,294.00","1,299.40","1,290.90","0.14K","0.14%"
"Jun 12, 2018","1,295.10","1,297.80","1,298.10","1,292.70","0.15K","-0.29%"
"Jun 11, 2018","1,298.90","1,299.30","1,302.00","1,295.20","0.07K","0.06%"
"Jun 08, 2018","1,298.10","1,295.30","1,299.40","1,294.80","0.65K","-0.05%"
"Jun 07, 2018","1,298.70","1,298.40","1,302.80","1,296.20","0.08K","0.12%"
"Jun 06, 2018","1,297.10","1,296.10","1,300.40","1,294.10","0.37K","-0.03%"
"Jun 05, 2018","1,297.50","1,292.10","1,299.80","1,289.90","0.36K","0.34%"
"Jun 04, 2018","1,293.10","1,293.90","1,297.10","1,290.00","0.14K","-0.13%"
"Jun 01, 2018","1,294.80","1,298.60","1,299.50","1,288.90","0.66K","-0.41%"
"May 31, 2018","1,300.10","1,301.00","1,306.80","1,296.60","4.08K","-0.11%"
"May 30, 2018","1,301.50","1,298.00","1,303.70","1,295.20","50.85K","0.22%"
"May 29, 2018","1,298.70","1,298.70","1,298.70","1,298.70","0.00K","0.08%"
"May 28, 2018","1,297.60","1,298.40","1,299.70","1,294.70","-","-0.05%"
"May 27, 2018","1,298.30","1,299.80","1,299.90","1,296.10","-","-0.38%"
"May 25, 2018","1,303.30","1,303.30","1,303.30","1,303.30","0.00K","-0.03%"
"May 24, 2018","1,303.70","1,303.70","1,303.70","1,303.70","-","1.12%"
"May 23, 2018","1,289.30","1,289.30","1,289.30","1,289.30","0.01K","-0.19%"
"May 22, 2018","1,291.70","1,291.70","1,291.70","1,291.70","0.05K","0.12%"
"May 21, 2018","1,290.20","1,287.40","1,292.10","1,287.40","0.05K","0.00%"
"May 18, 2018","1,290.20","1,285.20","1,289.60","1,285.20","0.00K","0.16%"
"May 17, 2018","1,288.20","1,291.30","1,291.30","1,290.70","0.00K","-0.16%"
"May 16, 2018","1,290.20","1,290.90","1,294.00","1,285.40","0.03K","0.10%"
"May 15, 2018","1,288.90","1,304.60","1,304.70","1,290.30","0.01K","-2.10%"
"May 14, 2018","1,316.50","1,319.90","1,319.90","1,317.90","0.00K","-0.19%"
"May 11, 2018","1,319.00","1,319.00","1,319.00","1,319.00","0.00K","-0.14%"
"May 10, 2018","1,320.80","1,312.20","1,318.00","1,312.20","0.01K","0.72%"
"May 09, 2018","1,311.30","1,311.30","1,311.30","1,311.30","0.07K","-0.05%"
"May 08, 2018","1,312.00","1,310.10","1,310.20","1,308.50","0.34K","-0.02%"
"May 07, 2018","1,312.20","1,310.60","1,312.50","1,310.20","0.00K","-0.04%"
"May 04, 2018","1,312.70","1,312.70","1,312.70","1,312.70","-","0.15%"
"May 03, 2018","1,310.70","1,310.70","1,310.70","1,310.70","0.00K","0.62%"
"May 02, 2018","1,302.60","1,309.00","1,309.30","1,303.70","0.02K","-0.09%"
"May 01, 2018","1,303.80","1,313.20","1,313.80","1,303.40","0.03K","-0.94%"
"Apr 30, 2018","1,316.20","1,309.60","1,313.30","1,309.60","0.05K","-0.31%"
"Apr 27, 2018","1,320.30","1,315.30","1,321.70","1,312.80","0.62K","0.30%"
"Apr 26, 2018","1,316.30","1,315.70","1,315.80","1,315.70","0.01K","-0.37%"
"Apr 25, 2018","1,321.20","1,324.00","1,325.00","1,320.00","0.28K","-0.77%"
"Apr 24, 2018","1,331.40","1,326.40","1,331.70","1,326.20","0.03K","0.67%"
"Apr 23, 2018","1,322.50","1,334.00","1,334.40","1,323.50","0.07K","-1.06%"
"Apr 20, 2018","1,336.70","1,342.50","1,343.40","1,335.30","0.31K","-0.75%"
"Apr 19, 2018","1,346.80","1,348.60","1,355.20","1,341.60","0.39K","-0.33%"
"Apr 18, 2018","1,351.20","1,343.50","1,354.20","1,343.50","0.05K","0.30%"
"Apr 17, 2018","1,347.20","1,348.00","1,348.10","1,339.00","0.41K","-0.02%"
"Apr 16, 2018","1,347.50","1,341.00","1,348.80","1,341.00","0.06K","0.20%"
"Apr 13, 2018","1,344.80","1,335.90","1,346.00","1,335.90","0.07K","0.48%"
"Apr 12, 2018","1,338.40","1,351.20","1,351.50","1,334.60","0.03K","-1.33%"
"Apr 11, 2018","1,356.50","1,340.10","1,365.40","1,340.10","0.12K","1.08%"
"Apr 10, 2018","1,342.00","1,335.20","1,341.00","1,333.00","0.11K","0.43%"
"Apr 09, 2018","1,336.30","1,333.00","1,337.50","1,327.00","0.29K","0.33%"
"Apr 06, 2018","1,331.90","1,326.50","1,333.00","1,319.00","0.35K","0.57%"
"Apr 05, 2018","1,324.30","1,333.50","1,333.70","1,322.60","0.26K","-0.86%"
"Apr 04, 2018","1,335.80","1,331.80","1,347.30","1,331.60","0.72K","0.23%"
"Apr 03, 2018","1,332.80","1,340.40","1,341.50","1,328.50","0.70K","-0.69%"
"Apr 02, 2018","1,342.10","1,327.00","1,344.20","1,324.70","0.65K","1.46%"
"Mar 29, 2018","1,322.80","1,324.00","1,327.10","1,321.70","5.59K","-0.11%"
"Mar 28, 2018","1,324.20","1,345.00","1,346.40","1,322.40","59.28K","-1.27%"
"Mar 27, 2018","1,341.30","1,341.00","1,341.00","1,341.00","0.01K","-0.97%"
"Mar 26, 2018","1,354.40","1,348.50","1,352.20","1,345.10","0.01K","0.38%"
"Mar 23, 2018","1,349.30","1,343.20","1,348.70","1,343.20","0.01K","1.71%"
"Mar 22, 2018","1,326.60","1,326.60","1,326.60","1,326.60","70.66K","0.45%"
"Mar 21, 2018","1,320.70","1,312.40","1,328.80","1,312.40","0.03K","0.73%"
"Mar 20, 2018","1,311.10","1,311.10","1,311.10","1,311.10","0.00K","-0.43%"
"Mar 19, 2018","1,316.80","1,309.40","1,316.90","1,307.30","0.01K","0.42%"
"Mar 16, 2018","1,311.30","1,310.10","1,310.10","1,310.10","0.03K","-0.42%"
"Mar 15, 2018","1,316.80","1,316.80","1,316.80","1,316.80","14.09K","-0.57%"
"Mar 14, 2018","1,324.40","1,322.20","1,324.10","1,322.20","0.02K","-0.11%"
"Mar 13, 2018","1,325.90","1,325.30","1,325.30","1,325.30","0.01K","0.49%"
"Mar 12, 2018","1,319.40","1,319.40","1,319.40","1,319.40","31.32K","-0.23%"
"Mar 09, 2018","1,322.40","1,316.80","1,322.20","1,313.00","0.09K","0.19%"
"Mar 08, 2018","1,319.90","1,324.80","1,326.80","1,319.30","0.06K","-0.46%"
"Mar 07, 2018","1,326.00","1,338.10","1,338.10","1,330.00","0.03K","-0.57%"
"Mar 06, 2018","1,333.60","1,321.60","1,333.40","1,321.40","0.02K","1.18%"
"Mar 05, 2018","1,318.10","1,323.50","1,325.90","1,318.10","0.02K","-0.23%"
"Mar 02, 2018","1,321.10","1,314.30","1,323.20","1,314.30","0.16K","1.40%"
"Mar 01, 2018","1,302.90","1,310.40","1,318.10","1,301.80","0.04K","-0.96%"
"Feb 28, 2018","1,315.50","1,315.40","1,321.00","1,315.40","0.06K","0.00%"
"Feb 27, 2018","1,315.50","1,331.70","1,332.60","1,312.70","0.71K","-1.14%"
"Feb 26, 2018","1,330.70","1,335.00","1,340.50","1,334.70","0.04K","0.19%"
"Feb 23, 2018","1,328.20","1,328.00","1,332.10","1,327.70","0.43K","-0.18%"
"Feb 22, 2018","1,330.60","1,322.00","1,331.40","1,322.00","0.07K","0.05%"
"Feb 21, 2018","1,330.00","1,326.80","1,331.50","1,324.40","0.12K","0.09%"
"Feb 20, 2018","1,328.80","1,348.40","1,350.20","1,328.50","0.28K","-1.41%"
"Feb 19, 2018","1,347.80","1,350.40","1,353.90","1,347.40","-","-0.20%"
"Feb 18, 2018","1,350.50","1,349.70","1,352.40","1,349.70","-","-0.20%"
"Feb 16, 2018","1,353.20","1,354.00","1,361.40","1,344.90","0.11K","0.08%"
"Feb 15, 2018","1,352.10","1,352.00","1,355.90","1,349.70","0.11K","-0.25%"
"Feb 14, 2018","1,355.50","1,332.80","1,355.50","1,324.00","0.40K","2.06%"
"Feb 13, 2018","1,328.10","1,324.50","1,329.60","1,323.40","0.07K","0.29%"
"Feb 12, 2018","1,324.20","1,323.80","1,325.50","1,318.00","0.14K","0.85%"
"Feb 09, 2018","1,313.10","1,320.90","1,322.00","1,311.90","0.45K","-0.29%"
"Feb 08, 2018","1,316.90","1,317.10","1,321.10","1,307.00","0.46K","0.40%"
"Feb 07, 2018","1,311.60","1,325.40","1,331.10","1,310.50","0.49K","-1.09%"
"Feb 06, 2018","1,326.10","1,338.20","1,343.70","1,319.50","0.53K","-0.52%"
"Feb 05, 2018","1,333.00","1,331.10","1,340.20","1,329.00","0.64K","-0.05%"
"Feb 02, 2018","1,333.70","1,348.50","1,352.10","1,327.70","2.84K","-0.79%"
"Feb 01, 2018","1,344.30","1,343.80","1,350.60","1,336.80","1.68K","0.40%"
"Jan 31, 2018","1,339.00","1,337.50","1,346.90","1,331.80","4.88K","0.27%"
"Jan 30, 2018","1,335.40","1,338.70","1,347.80","1,332.80","52.10K","-0.33%"
"Jan 29, 2018","1,339.80","1,339.80","1,339.80","1,339.80","0.01K","-0.87%"
"Jan 26, 2018","1,351.60","1,351.60","1,352.00","1,350.90","0.00K","-0.79%"
"Jan 25, 2018","1,362.40","1,356.30","1,356.40","1,346.70","0.00K","0.48%"
"Jan 24, 2018","1,355.90","1,357.20","1,357.20","1,357.20","0.02K","1.51%"
"Jan 23, 2018","1,335.70","1,335.80","1,335.90","1,335.80","0.05K","0.36%"
"Jan 22, 2018","1,330.90","1,328.40","1,328.40","1,328.40","0.16K","-0.08%"
"Jan 19, 2018","1,331.90","1,330.10","1,333.00","1,330.10","0.05K","0.44%"
"Jan 18, 2018","1,326.00","1,328.90","1,328.90","1,326.60","0.21K","-0.90%"
"Jan 17, 2018","1,338.00","1,334.40","1,334.40","1,326.80","0.03K","0.19%"
"Jan 16, 2018","1,335.40","1,331.10","1,332.50","1,331.00","0.01K","-0.48%"
"Jan 15, 2018","1,341.80","1,337.30","1,344.90","1,337.00","-","0.33%"
"Jan 14, 2018","1,337.40","1,337.70","1,338.60","1,336.40","-","0.30%"
"Jan 12, 2018","1,333.40","1,327.80","1,338.20","1,327.80","0.01K","0.97%"
"Jan 11, 2018","1,320.60","1,317.10","1,317.10","1,316.30","0.01K","0.24%"
"Jan 10, 2018","1,317.40","1,320.30","1,320.70","1,315.30","0.07K","0.43%"
"Jan 09, 2018","1,311.70","1,309.60","1,309.60","1,309.60","0.02K","-0.52%"
"Jan 08, 2018","1,318.60","1,319.90","1,319.90","1,314.60","0.04K","-0.13%"
"Jan 05, 2018","1,320.30","1,320.30","1,320.30","1,320.30","0.00K","0.07%"
"Jan 04, 2018","1,319.40","1,322.00","1,322.00","1,321.90","0.00K","0.24%"
"Jan 03, 2018","1,316.20","1,320.00","1,320.10","1,312.10","0.04K","0.19%"
"Jan 02, 2018","1,313.70","1,302.30","1,317.60","1,302.30","0.07K","0.38%"
"Jan 01, 2018","1,308.70","1,305.80","1,309.70","1,304.60","-","0.18%"